loan_id,customer_id,loan_amount,interest_rate,term_months,loan_type,status,disbursement_date,due_date,created_at
L001,C001,500000,12.5,12,personal,active,2024-01-20,2025-01-20,2024-01-15
L002,C003,1500000,10.0,24,business,active,2024-02-01,2026-02-01,2024-01-28
L003,C005,3000000,8.5,36,mortgage,active,2024-01-10,2027-01-10,2024-01-05
L004,C002,250000,15.0,6,personal,repaid,2023-06-01,2023-12-01,2023-05-28
L005,C007,800000,11.0,18,business,active,2024-03-15,2025-09-15,2024-03-10
L006,C009,2000000,9.5,30,mortgage,active,2024-02-20,2026-08-20,2024-02-15
L007,C004,150000,18.0,3,personal,defaulted,2023-09-01,2023-12-01,2023-08-28
L008,C010,600000,12.0,12,personal,active,2024-04-01,2025-04-01,2024-03-28
L009,C013,1200000,10.5,24,business,active,2024-01-25,2026-01-25,2024-01-20
L010,C015,5000000,7.5,60,mortgage,active,2024-01-08,2029-01-08,2024-01-03
L011,C001,300000,14.0,9,personal,repaid,2023-03-01,2023-12-01,2023-02-26
L012,C008,100000,20.0,3,personal,defaulted,2023-10-01,2024-01-01,2023-09-28
L013,C012,400000,13.5,12,personal,active,2024-05-01,2025-05-01,2024-04-28
L014,C006,200000,16.0,6,personal,repaid,2023-07-01,2024-01-01,2023-06-28
L015,C011,900000,11.5,18,business,active,2024-03-01,2025-09-01,2024-02-26
